type,id,x,y,z,value
SENSE,0,1417.0541385002562,366.66630000032967,1,469
SENSE,1,1189.054366500361,245.61086549964273,1,1227
SENSE,2,835.3880534999735,640.3882485000529,1,1138
SENSE,3,1165.8321675001744,799.888088999995,1,968
SENSE,4,642.6660239998286,996.1656704994527,1,1249
SENSE,5,629.6104815004215,1225.887663000526,1,1586
SENSE,6,774.499225500147,1696.2205260004444,1,1638
SENSE,7,1083.6655830003838,1740.83159249992,1,1579
SENSE,8,353.9440905000811,1294.1653725002504,1,1185
SENSE,9,428.6106825002544,968.6656980001977,1,983
BASE,0,-30.0,-30.0,0,0
BASE,1,1629.724326200042,-30.0,0,0
BASE,2,-30.0,1919.4018143002982,0,0
BASE,3,1629.724326200042,1919.4018143002982,0,0
